X1 (Obs State 1);X2 (Obs State 2);Ref;U (action control);V1 (Real State 1);V2 (Real State 2)
Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];
0.49;-0.01;0.50;-0.00;0.49;-0.01;
0.49;-0.00;0.50;0.00;0.48;0.00;
0.48;0.00;0.50;0.01;0.47;0.02;
0.47;-0.00;0.50;0.01;0.47;0.01;
0.48;-0.01;0.50;0.00;0.48;-0.00;
0.50;-0.02;0.50;-0.01;0.50;-0.00;
0.51;-0.01;0.50;-0.01;0.51;-0.00;
0.51;0.01;0.50;0.00;0.50;0.02;
0.49;0.01;-1.50;-1.06;0.47;0.02;
-0.31;1.29;-1.50;0.20;-0.21;1.16;
-1.57;1.00;-1.50;0.69;-1.45;0.95;
-2.11;0.11;-1.50;0.40;-2.15;0.22;
-2.01;-0.35;-1.50;0.05;-2.15;-0.23;
-1.75;-0.32;-1.50;-0.07;-1.86;-0.27;
-1.58;-0.16;-1.50;-0.06;-1.61;-0.17;
-1.47;-0.07;-1.50;-0.06;-1.45;-0.10;
-1.41;-0.01;-1.50;-0.06;-1.38;-0.03;
-1.40;0.04;-1.50;-0.03;-1.39;0.05;
-1.45;0.07;-1.50;0.02;-1.45;0.08;
-1.52;0.05;-1.50;0.04;-1.52;0.07;
-1.55;0.00;-1.50;0.03;-1.57;0.03;
-1.56;-0.02;-1.50;0.02;-1.57;-0.01;
-1.54;-0.04;-1.50;-0.00;-1.54;-0.03;
-1.50;-0.03;-1.50;-0.02;-1.51;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.48;0.00;
-1.48;0.00;-1.50;-0.01;-1.51;0.02;
-1.53;0.03;-1.50;0.03;-1.54;0.03;
-1.56;-0.00;-1.50;0.03;-1.56;-0.01;
-1.54;-0.03;-1.50;-0.00;-1.54;-0.05;
-1.50;-0.03;-1.50;-0.02;-1.50;-0.04;
-1.48;-0.01;-1.50;-0.02;-1.48;-0.01;
-1.49;0.01;-1.50;0.00;-1.50;0.02;
-1.52;0.02;-1.50;0.02;-1.53;0.03;
-1.54;-0.00;-1.50;0.02;-1.56;0.02;
-1.55;-0.01;-1.50;0.02;-1.57;0.01;
-1.55;-0.02;-1.50;0.01;-1.56;-0.00;
-1.53;-0.02;-1.50;0.00;-1.55;0.01;
-1.53;-0.02;-1.50;0.00;-1.55;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;-0.00;
-1.53;-0.02;-1.50;0.01;-1.54;0.00;
-1.52;-0.02;-1.50;0.00;-1.54;0.00;
-1.53;-0.01;-1.50;0.01;-1.55;0.01;
-1.54;-0.01;-1.50;0.02;-1.55;-0.01;
-1.53;-0.02;-1.50;0.00;-1.54;-0.03;
-1.51;-0.02;-1.50;-0.01;-1.52;-0.03;
-1.51;-0.00;-1.50;0.00;-1.52;0.00;
-1.52;0.01;-1.50;0.02;-1.54;0.01;
-1.54;-0.01;-1.50;0.01;-1.56;0.00;
-1.55;-0.01;-1.50;0.02;-1.55;-0.01;
-1.53;-0.03;-1.50;-0.00;-1.53;-0.02;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.01;
-1.49;-0.00;-1.50;-0.01;-1.50;0.02;
-1.51;0.01;-1.50;0.01;-1.52;0.03;
-1.53;0.00;-1.50;0.02;-1.53;0.01;
-1.53;-0.01;-1.50;0.01;-1.52;-0.00;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.00;
-1.49;-0.00;-1.50;-0.01;-1.52;0.02;
-1.53;0.02;-1.50;0.03;-1.54;0.03;
-1.55;-0.00;-1.50;0.02;-1.57;0.01;
-1.55;-0.02;-1.50;0.01;-1.58;-0.01;
-1.55;-0.02;-1.50;0.01;-1.56;-0.03;
-1.53;-0.03;-1.50;-0.00;-1.53;-0.04;
-1.50;-0.03;-1.50;-0.02;-1.50;-0.04;
-1.48;-0.01;-1.50;-0.02;-1.48;-0.01;
-1.49;0.02;-1.50;0.00;-1.50;0.03;
-1.52;0.02;-1.50;0.02;-1.54;0.04;
-1.55;0.01;-1.50;0.03;-1.57;0.02;
-1.56;-0.02;-1.50;0.02;-1.57;-0.01;
-1.54;-0.04;-1.50;-0.01;-1.55;-0.03;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.50;0.02;
-1.50;0.01;-1.50;0.01;-1.51;0.02;
-1.51;0.00;-1.50;0.01;-1.52;0.02;
-1.52;-0.00;-1.50;0.01;-1.55;0.03;
-1.54;0.00;-1.50;0.03;-1.58;0.03;
-1.57;-0.01;-1.50;0.03;-1.60;0.01;
-1.57;-0.03;-1.50;0.02;-1.60;-0.03;
-1.55;-0.04;-1.50;0.00;-1.56;-0.05;
-1.52;-0.04;-1.50;-0.02;-1.52;-0.04;
-1.49;-0.02;-1.50;-0.02;-1.50;-0.02;
-1.50;0.01;-1.50;0.01;-1.51;0.01;
-1.52;0.01;-1.50;0.02;-1.55;0.03;
-1.55;-0.00;-1.50;0.03;-1.57;0.02;
-1.56;-0.02;-1.50;0.02;-1.58;0.00;
-1.55;-0.03;-1.50;0.01;-1.58;-0.01;
