X1 (Obs State 1);X2 (Obs State 2);Ref;U (action control);V1 (Real State 1);V2 (Real State 2)
Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];
-1.53;-0.03;-1.50;-0.01;-1.54;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.52;-0.01;
-1.51;-0.00;-1.50;0.00;-1.50;-0.00;
-1.50;-0.01;-1.50;-0.01;-1.50;0.01;
-1.50;0.00;-1.50;-0.00;-1.50;0.02;
-1.51;0.01;-1.50;0.01;-1.51;0.02;
-1.52;-0.00;-1.50;0.01;-1.53;0.03;
-1.52;-0.00;-1.50;0.01;-1.55;0.03;
-1.55;0.00;-1.50;0.03;-1.58;0.03;
-1.57;-0.01;-1.50;0.03;-1.62;0.02;
-1.59;-0.03;-1.50;0.03;-1.61;-0.02;
-1.56;-0.05;-1.50;-0.00;-1.57;-0.06;
-1.50;-0.05;-1.50;-0.03;-1.50;-0.06;
-1.46;-0.01;-1.50;-0.03;-1.47;-0.02;
-1.48;0.03;-1.50;0.01;-1.48;0.02;
-1.51;0.02;-1.50;0.02;-1.52;0.03;
-1.54;0.00;-1.50;0.02;-1.55;0.02;
-1.55;-0.01;-1.50;0.02;-1.56;0.00;
-1.54;-0.02;-1.50;0.01;-1.56;-0.01;
-1.53;-0.02;-1.50;0.00;-1.55;-0.00;
-1.53;-0.01;-1.50;0.00;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;0.02;
-1.54;-0.01;-1.50;0.01;-1.56;0.03;
-1.54;-0.01;-1.50;0.02;-1.56;0.01;
-1.54;-0.02;-1.50;0.01;-1.56;-0.01;
-1.53;-0.02;-1.50;0.00;-1.54;-0.01;
-1.51;-0.02;-1.50;-0.01;-1.53;-0.00;
-1.52;0.00;-1.50;0.01;-1.53;0.00;
-1.53;-0.01;-1.50;0.01;-1.52;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.50;-0.03;
-1.48;-0.01;-1.50;-0.02;-1.48;-0.01;
-1.48;0.01;-1.50;-0.00;-1.50;0.02;
-1.52;0.02;0.50;1.10;-1.54;0.03;
-0.79;-1.28;0.50;-0.14;-0.90;-1.14;
0.49;-1.05;0.50;-0.68;0.36;-1.01;
1.08;-0.16;0.50;-0.42;1.10;-0.26;
1.00;0.33;0.50;-0.06;1.13;0.21;
0.74;0.32;0.50;0.08;0.85;0.29;
0.56;0.17;0.50;0.08;0.56;0.21;
0.42;0.07;0.50;0.09;0.38;0.13;
0.34;-0.01;0.50;0.08;0.28;0.05;
0.32;-0.07;0.50;0.05;0.28;-0.04;
0.37;-0.10;0.50;0.00;0.35;-0.11;
0.46;-0.09;0.50;-0.04;0.46;-0.10;
0.53;-0.04;0.50;-0.05;0.53;-0.05;
0.55;0.02;0.50;-0.02;0.54;0.01;
0.52;0.03;0.50;0.01;0.52;0.04;
0.49;0.01;0.50;0.01;0.48;0.03;
0.47;0.00;0.50;0.02;0.46;0.02;
0.47;-0.01;0.50;0.01;0.46;0.00;
0.48;-0.02;0.50;-0.00;0.47;0.00;
0.48;-0.01;0.50;0.00;0.46;0.00;
0.47;0.00;0.50;0.02;0.45;0.00;
0.46;-0.01;0.50;0.01;0.45;-0.01;
0.47;-0.02;0.50;0.00;0.46;-0.02;
0.48;-0.02;0.50;-0.00;0.48;-0.01;
0.50;-0.01;0.50;-0.01;0.49;0.00;
0.49;0.00;0.50;0.00;0.49;0.01;
0.49;0.00;0.50;0.01;0.48;0.02;
0.48;-0.01;0.50;0.00;0.47;0.02;
0.48;-0.00;0.50;0.01;0.45;0.02;
0.45;0.00;0.50;0.02;0.42;0.02;
0.43;-0.01;0.50;0.03;0.40;0.00;
0.42;-0.03;0.50;0.02;0.40;-0.03;
0.45;-0.04;0.50;-0.00;0.44;-0.04;
0.49;-0.04;0.50;-0.02;0.49;-0.03;
0.52;-0.01;0.50;-0.01;0.51;0.00;
0.51;0.01;0.50;0.00;0.50;0.03;
0.48;0.02;0.50;0.02;0.47;0.04;
0.46;-0.00;0.50;0.02;0.44;0.02;
0.45;-0.02;0.50;0.01;0.44;-0.00;
0.46;-0.02;0.50;0.01;0.44;-0.02;
0.47;-0.02;0.50;0.01;0.46;-0.02;
0.49;-0.02;0.50;-0.01;0.47;-0.01;
0.48;-0.00;0.50;0.01;0.47;0.00;
0.47;-0.00;0.50;0.01;0.46;0.01;
0.47;-0.01;0.50;0.01;0.46;0.00;
0.48;-0.01;0.50;0.00;0.46;0.01;
0.47;-0.01;0.50;0.01;0.46;0.02;
0.47;-0.01;0.50;0.01;0.45;0.02;
0.46;-0.01;0.50;0.01;0.44;0.00;
0.45;-0.02;0.50;0.01;0.45;-0.02;
0.48;-0.03;0.50;-0.01;0.48;-0.04;
0.51;-0.02;0.50;-0.01;0.51;-0.04;
0.52;-0.00;0.50;-0.01;0.53;-0.00;
0.52;0.01;0.50;-0.00;0.51;0.03;
0.48;0.02;0.50;0.02;0.47;0.05;
0.45;0.01;0.50;0.03;0.43;0.04;
0.44;-0.02;0.50;0.02;0.43;-0.00;
0.46;-0.03;0.50;-0.00;0.45;-0.03;
0.49;-0.03;0.50;-0.01;0.49;-0.03;
0.51;-0.01;0.50;-0.01;0.50;-0.00;
0.50;0.01;0.50;0.01;0.48;-0.01;
0.46;0.01;0.50;0.03;0.45;0.01;
0.45;-0.01;0.50;0.02;0.43;-0.00;
0.46;-0.03;0.50;0.01;0.44;-0.01;
0.47;-0.03;0.50;-0.00;0.46;-0.00;
0.48;-0.01;0.50;0.00;0.46;0.01;
0.47;-0.00;0.50;0.02;0.46;0.02;
0.47;-0.02;0.50;0.01;0.46;-0.00;
0.48;-0.02;0.50;0.00;0.47;-0.00;
0.48;-0.01;0.50;0.00;0.47;0.00;
0.48;-0.00;0.50;0.01;0.46;-0.00;
0.46;-0.01;0.50;0.02;0.45;-0.02;
0.47;-0.02;0.50;0.00;0.47;-0.03;
0.49;-0.03;0.50;-0.01;0.49;-0.02;
0.50;-0.01;0.50;-0.01;0.49;0.02;
0.48;0.01;0.50;0.02;0.47;0.03;
0.46;0.00;0.50;0.02;0.45;0.02;
0.46;-0.02;0.50;0.00;0.45;-0.00;
0.48;-0.02;0.50;-0.00;0.46;-0.01;
0.48;-0.01;0.50;0.00;0.46;0.00;
0.47;-0.00;0.50;0.01;0.45;0.00;
0.46;-0.01;0.50;0.02;0.45;-0.02;
0.47;-0.02;0.50;0.00;0.47;-0.03;
0.49;-0.02;0.50;-0.01;0.48;-0.02;
0.50;-0.00;0.50;0.00;0.49;0.02;
0.49;0.00;0.50;0.01;0.47;0.03;
0.46;0.00;0.50;0.02;0.44;0.04;
0.44;-0.01;0.50;0.03;0.41;0.02;
0.43;-0.02;0.50;0.02;0.41;0.00;
0.44;-0.03;0.50;0.01;0.42;-0.02;
0.46;-0.03;0.50;-0.00;0.44;-0.02;
0.47;-0.02;0.50;0.01;0.45;-0.02;
0.47;-0.01;0.50;0.01;0.45;-0.01;
0.47;-0.02;0.50;0.00;0.45;0.00;
0.46;-0.01;0.50;0.01;0.43;0.02;
0.44;-0.01;0.50;0.03;0.43;0.01;
0.45;-0.03;0.50;0.01;0.44;-0.00;
0.47;-0.03;0.50;-0.01;0.45;0.00;
0.48;-0.01;0.50;0.01;0.46;-0.00;
0.47;-0.01;0.50;0.01;0.46;0.00;
0.47;-0.01;0.50;0.01;0.46;0.00;
0.47;-0.01;0.50;0.01;0.44;0.00;
0.45;-0.00;0.50;0.02;0.43;-0.01;
0.45;-0.02;0.50;0.01;0.44;-0.02;
0.47;-0.03;0.50;-0.00;0.47;-0.03;
0.50;-0.03;0.50;-0.02;0.50;-0.02;
0.51;-0.00;0.50;-0.01;0.51;0.02;
0.50;0.01;0.50;0.01;0.50;0.02;
0.49;0.00;0.50;0.01;0.48;0.02;
0.48;0.00;0.50;0.01;0.46;0.02;
0.46;-0.00;0.50;0.02;0.44;0.00;
0.45;-0.02;0.50;0.02;0.44;-0.05;
0.47;-0.03;0.50;-0.00;0.45;-0.03;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.49;-0.01;0.50;-0.00;0.49;-0.00;
0.50;-0.01;0.50;-0.01;0.50;0.01;
0.50;0.00;0.50;0.00;0.50;0.02;
0.49;0.00;0.50;0.01;0.49;0.02;
0.48;-0.00;0.50;0.01;0.47;0.02;
0.47;0.00;0.50;0.02;0.45;0.02;
0.45;-0.01;0.50;0.02;0.43;0.00;
0.44;-0.02;0.50;0.02;0.42;-0.02;
0.45;-0.03;0.50;0.01;0.44;-0.03;
0.48;-0.03;0.50;-0.01;0.46;-0.01;
0.49;-0.01;0.50;-0.00;0.46;0.02;
0.46;0.01;0.50;0.02;0.44;0.03;
0.44;-0.01;0.50;0.03;0.43;0.02;
0.46;-0.03;0.50;0.00;0.43;-0.00;
0.46;-0.02;0.50;0.01;0.44;-0.00;
0.46;-0.01;0.50;0.01;0.44;-0.00;
0.46;-0.01;0.50;0.01;0.45;-0.02;
0.48;-0.02;0.50;-0.00;0.47;-0.04;
0.50;-0.02;0.50;-0.01;0.50;-0.03;
0.52;-0.01;0.50;-0.01;0.51;0.00;
0.51;0.01;0.50;0.00;0.49;0.04;
0.47;0.02;0.50;0.03;0.45;0.05;
0.44;0.00;0.50;0.04;0.41;0.04;
0.42;-0.02;0.50;0.03;0.40;-0.00;
0.44;-0.04;0.50;0.01;0.42;-0.03;
0.47;-0.04;0.50;-0.01;0.45;-0.02;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.48;-0.01;0.50;0.00;0.48;-0.02;
0.49;-0.01;0.50;0.00;0.48;-0.01;
0.49;-0.01;0.50;-0.00;0.48;0.01;
0.48;0.00;0.50;0.01;0.47;0.02;
0.47;-0.00;0.50;0.01;0.46;0.01;
0.47;-0.02;0.50;0.00;0.47;-0.01;
0.49;-0.02;0.50;-0.01;0.49;-0.00;
0.51;-0.01;0.50;-0.01;0.50;-0.00;
0.50;0.01;0.50;0.00;0.50;-0.00;
0.50;0.00;0.50;0.00;0.50;-0.00;
0.50;-0.00;0.50;0.00;0.49;0.01;
0.49;0.00;0.50;0.01;0.47;0.02;
0.46;0.00;0.50;0.02;0.43;0.03;
0.43;-0.00;0.50;0.03;0.42;0.02;
0.44;-0.03;0.50;0.01;0.42;-0.01;
0.46;-0.03;0.50;-0.00;0.45;-0.01;
0.48;-0.02;0.50;-0.00;0.47;-0.01;
0.48;-0.01;0.50;0.00;0.48;-0.01;
0.49;-0.01;0.50;0.00;0.48;-0.00;
0.49;-0.01;0.50;0.00;0.48;-0.00;
0.48;0.00;0.50;0.01;0.46;0.00;
0.46;-0.00;0.50;0.02;0.46;-0.01;
0.47;-0.02;0.50;0.00;0.47;-0.02;
0.49;-0.02;0.50;-0.01;0.48;-0.01;
0.50;-0.00;0.50;-0.00;0.48;0.03;
0.48;0.01;0.50;0.01;0.46;0.04;
0.45;0.00;0.50;0.03;0.44;0.02;
0.45;-0.02;0.50;0.01;0.43;-0.00;
0.46;-0.03;0.50;0.00;0.45;-0.02;
0.48;-0.02;0.50;-0.01;0.47;-0.02;
0.49;-0.01;0.50;-0.00;0.49;-0.02;
0.49;-0.00;0.50;0.00;0.49;-0.01;
0.50;-0.00;0.50;0.00;0.49;0.01;
0.49;-0.00;0.50;0.00;0.48;0.02;
0.48;0.00;0.50;0.01;0.47;0.03;
0.47;-0.00;0.50;0.02;0.46;0.01;
0.47;-0.02;0.50;0.01;0.46;-0.01;
0.48;-0.02;0.50;-0.00;0.47;-0.01;
0.49;-0.01;0.50;0.00;0.48;-0.00;
0.48;-0.00;0.50;0.01;0.48;-0.00;
0.48;-0.01;0.50;0.00;0.47;0.00;
0.47;-0.00;0.50;0.01;0.45;0.01;
0.45;-0.00;0.50;0.03;0.43;0.00;
0.45;-0.02;0.50;0.02;0.44;-0.01;
0.47;-0.03;0.50;-0.01;0.46;-0.02;
0.49;-0.02;0.50;-0.01;0.49;-0.01;
0.50;-0.01;0.50;-0.01;0.51;-0.01;
0.51;-0.00;0.50;-0.01;0.52;-0.01;
0.52;0.00;0.50;-0.01;0.53;-0.01;
0.52;0.01;0.50;-0.00;0.52;-0.00;
0.51;0.01;0.50;0.00;0.51;-0.00;
0.50;0.01;0.50;0.00;0.50;0.01;
0.49;0.00;0.50;0.01;0.47;0.03;
0.47;0.01;0.50;0.02;0.44;0.04;
0.44;-0.00;0.50;0.03;0.41;0.03;
0.43;-0.02;0.50;0.02;0.41;-0.01;
0.46;-0.05;0.50;-0.01;0.45;-0.03;
0.50;-0.03;0.50;-0.02;0.48;-0.03;
0.50;-0.00;0.50;-0.00;0.50;-0.01;
0.50;0.00;-1.50;-1.08;0.50;-0.01;
-0.27;1.29;-1.50;0.17;-0.18;1.17;
-1.56;1.03;-1.50;0.71;-1.46;0.99;
-2.16;0.13;-1.50;0.44;-2.20;0.24;
-2.05;-0.37;-1.50;0.06;-2.21;-0.22;
-1.79;-0.35;-1.50;-0.07;-1.91;-0.29;
-1.59;-0.19;-1.50;-0.07;-1.63;-0.20;
-1.48;-0.07;-1.50;-0.06;-1.46;-0.10;
-1.41;-0.02;-1.50;-0.06;-1.38;-0.03;
-1.40;0.04;-1.50;-0.03;-1.39;0.05;
-1.45;0.07;-1.50;0.02;-1.45;0.08;
-1.52;0.04;-1.50;0.04;-1.52;0.07;
-1.54;-0.00;-1.50;0.02;-1.56;0.03;
-1.55;-0.02;-1.50;0.02;-1.57;0.01;
-1.55;-0.02;-1.50;0.01;-1.56;-0.02;
-1.53;-0.03;-1.50;0.00;-1.56;-0.01;
-1.53;-0.01;-1.50;0.01;-1.55;-0.00;
-1.53;-0.02;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;0.00;-1.53;-0.02;
-1.51;-0.01;-1.50;-0.00;-1.52;-0.01;
-1.51;-0.00;-1.50;0.00;-1.52;-0.01;
-1.52;0.00;-1.50;0.01;-1.53;-0.00;
-1.53;-0.00;-1.50;0.01;-1.53;-0.01;
-1.52;-0.01;-1.50;0.00;-1.52;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.02;
-1.48;-0.00;-1.50;-0.01;-1.49;0.01;
-1.50;0.01;-1.50;0.01;-1.52;0.03;
-1.53;0.01;-1.50;0.03;-1.54;0.04;
-1.54;-0.01;-1.50;0.01;-1.56;0.02;
-1.54;-0.02;-1.50;0.01;-1.57;0.01;
-1.55;-0.01;-1.50;0.02;-1.56;-0.01;
-1.53;-0.03;-1.50;-0.00;-1.53;-0.02;
-1.50;-0.03;-1.50;-0.02;-1.50;-0.02;
-1.48;-0.00;-1.50;-0.01;-1.48;0.00;
-1.49;0.02;-1.50;0.01;-1.50;0.03;
-1.52;0.01;-1.50;0.02;-1.54;0.03;
-1.55;0.01;-1.50;0.03;-1.57;0.01;
-1.56;-0.02;-1.50;0.02;-1.57;-0.03;
-1.54;-0.03;-1.50;-0.00;-1.55;-0.04;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.03;
-1.49;-0.01;-1.50;-0.01;-1.50;-0.00;
-1.50;0.01;-1.50;0.01;-1.52;0.03;
-1.54;0.02;-1.50;0.03;-1.56;0.04;
-1.57;-0.01;-1.50;0.03;-1.59;0.01;
-1.56;-0.03;-1.50;0.01;-1.57;-0.03;
-1.52;-0.04;-1.50;-0.02;-1.52;-0.04;
-1.48;-0.02;-1.50;-0.03;-1.47;-0.01;
-1.46;0.01;-1.50;-0.02;-1.46;0.02;
-1.48;0.03;-1.50;0.01;-1.48;0.04;
-1.51;0.02;-1.50;0.02;-1.53;0.04;
-1.54;0.01;-1.50;0.03;-1.57;0.02;
-1.57;-0.01;-1.50;0.03;-1.57;-0.01;
-1.54;-0.04;-1.50;-0.00;-1.55;-0.03;
-1.51;-0.03;-1.50;-0.01;-1.53;-0.03;
-1.51;-0.00;-1.50;0.00;-1.52;-0.01;
-1.52;-0.00;-1.50;0.01;-1.53;0.00;
-1.53;0.00;-1.50;0.02;-1.55;0.01;
-1.54;-0.01;-1.50;0.01;-1.56;-0.00;
-1.55;-0.02;-1.50;0.01;-1.56;-0.01;
-1.54;-0.02;-1.50;0.01;-1.54;-0.03;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.02;
-1.49;-0.01;-1.50;-0.02;-1.51;0.01;
-1.51;0.02;-1.50;0.02;-1.54;0.04;
-1.56;0.01;-1.50;0.04;-1.57;0.04;
-1.56;-0.03;-1.50;0.02;-1.58;-0.00;
-1.54;-0.03;-1.50;-0.00;-1.55;-0.02;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.01;
-1.49;-0.01;-1.50;-0.01;-1.51;0.01;
-1.51;0.02;-1.50;0.02;-1.53;0.04;
-1.54;0.01;-1.50;0.03;-1.56;0.02;
-1.55;-0.01;-1.50;0.02;-1.57;-0.00;
-1.54;-0.03;-1.50;0.00;-1.56;-0.02;
-1.53;-0.02;-1.50;0.00;-1.55;-0.02;
-1.52;-0.02;-1.50;0.00;-1.55;-0.01;
-1.53;-0.01;-1.50;0.01;-1.55;-0.01;
-1.54;-0.01;-1.50;0.02;-1.55;-0.02;
-1.53;-0.02;-1.50;0.00;-1.53;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.50;0.01;
-1.51;0.01;-1.50;0.01;-1.52;0.02;
-1.53;0.00;-1.50;0.02;-1.53;0.01;
-1.53;-0.01;-1.50;0.00;-1.53;-0.00;
-1.51;-0.02;-1.50;-0.01;-1.51;0.01;
-1.50;-0.01;-1.50;-0.00;-1.51;0.01;
-1.51;0.01;-1.50;0.01;-1.51;0.02;
-1.52;-0.00;-1.50;0.01;-1.52;0.02;
-1.52;-0.01;-1.50;0.01;-1.54;0.02;
-1.54;0.00;-1.50;0.02;-1.57;0.02;
-1.57;-0.01;-1.50;0.03;-1.59;0.01;
-1.57;-0.03;-1.50;0.02;-1.58;-0.03;
-1.54;-0.04;-1.50;-0.01;-1.55;-0.05;
-1.51;-0.03;-1.50;-0.01;-1.50;-0.05;
-1.48;-0.01;-1.50;-0.02;-1.48;-0.02;
-1.48;0.01;-1.50;-0.01;-1.48;0.01;
-1.50;0.02;-1.50;0.01;-1.51;0.03;
-1.53;0.01;-1.50;0.02;-1.53;0.01;
-1.53;-0.02;-1.50;0.00;-1.54;0.00;
-1.52;-0.01;-1.50;0.00;-1.55;0.01;
-1.54;-0.00;-1.50;0.02;-1.55;0.02;
-1.54;-0.01;-1.50;0.01;-1.56;0.01;
-1.54;-0.02;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.01;-1.52;-0.01;
-1.50;-0.01;-1.50;-0.01;-1.51;-0.00;
-1.51;0.00;-1.50;0.01;-1.51;-0.00;
-1.51;-0.00;-1.50;0.00;-1.51;0.01;
-1.50;-0.01;-1.50;-0.00;-1.52;0.01;
-1.52;0.01;-1.50;0.01;-1.54;0.01;
-1.54;0.00;-1.50;0.02;-1.55;-0.01;
-1.54;-0.02;-1.50;0.01;-1.55;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.54;-0.02;
-1.52;-0.01;-1.50;0.00;-1.54;-0.01;
-1.53;-0.00;-1.50;0.02;-1.54;0.00;
-1.53;-0.02;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.00;-1.54;-0.00;
-1.52;-0.01;-1.50;0.01;-1.55;0.01;
-1.54;0.00;-1.50;0.02;-1.55;0.02;
-1.54;-0.02;-1.50;0.01;-1.56;0.01;
-1.54;-0.02;-1.50;0.01;-1.56;0.02;
-1.54;-0.02;-1.50;0.01;-1.57;0.02;
-1.55;-0.01;-1.50;0.02;-1.58;0.01;
-1.55;-0.02;-1.50;0.01;-1.56;-0.01;
-1.53;-0.04;-1.50;-0.01;-1.53;-0.03;
-1.49;-0.02;-1.50;-0.02;-1.49;-0.03;
-1.48;0.00;-1.50;-0.01;-1.47;-0.00;
-1.48;0.01;-1.50;-0.00;-1.49;0.02;
-1.51;0.02;-1.50;0.02;-1.52;0.03;
-1.54;0.01;-1.50;0.03;-1.56;0.01;
-1.55;-0.01;-1.50;0.02;-1.57;-0.01;
-1.54;-0.03;-1.50;0.00;-1.57;-0.02;
-1.54;-0.02;-1.50;0.01;-1.56;-0.01;
-1.54;-0.02;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;-0.01;-1.53;-0.02;
-1.51;-0.01;-1.50;-0.00;-1.52;-0.01;
-1.51;-0.00;-1.50;0.01;-1.51;0.00;
-1.51;-0.01;-1.50;0.00;-1.51;0.01;
-1.51;-0.00;-1.50;0.00;-1.52;0.02;
-1.52;0.00;-1.50;0.02;-1.54;0.03;
-1.54;-0.00;-1.50;0.02;-1.56;0.01;
-1.55;-0.01;-1.50;0.02;-1.55;-0.00;
-1.53;-0.03;-1.50;-0.00;-1.53;-0.02;
-1.50;-0.02;-1.50;-0.02;-1.50;-0.02;
-1.49;0.00;-1.50;-0.00;-1.49;0.00;
-1.50;0.01;-1.50;0.01;-1.51;0.01;
-1.52;0.01;-1.50;0.01;-1.53;0.01;
-1.53;-0.00;-1.50;0.01;-1.54;-0.01;
-1.53;-0.01;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;0.00;-1.54;-0.02;
-1.52;-0.01;-1.50;0.00;-1.54;-0.00;
-1.53;-0.00;-1.50;0.01;-1.55;0.01;
-1.54;-0.01;-1.50;0.02;-1.55;-0.00;
-1.53;-0.02;-1.50;0.00;-1.53;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.52;-0.01;
-1.50;-0.00;-1.50;0.00;-1.52;0.02;
-1.52;0.01;-1.50;0.01;-1.54;0.04;
-1.54;-0.00;-1.50;0.02;-1.55;0.02;
-1.54;-0.02;-1.50;0.01;-1.55;0.00;
-1.53;-0.02;-1.50;0.00;-1.54;0.00;
-1.52;-0.01;-1.50;0.00;-1.55;0.01;
-1.54;-0.00;-1.50;0.02;-1.55;0.01;
-1.54;-0.02;-1.50;0.01;-1.56;-0.01;
-1.53;-0.02;-1.50;0.00;-1.54;-0.03;
-1.52;-0.02;-1.50;-0.01;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.01;-1.51;-0.02;
-1.51;0.00;-1.50;0.00;-1.51;-0.02;
-1.51;-0.00;-1.50;0.00;-1.51;-0.00;
-1.51;-0.00;-1.50;0.00;-1.52;0.01;
-1.52;-0.00;-1.50;0.01;-1.54;0.02;
-1.54;0.00;-1.50;0.02;-1.56;0.03;
-1.56;-0.01;-1.50;0.03;-1.59;0.02;
-1.57;-0.02;-1.50;0.02;-1.59;0.00;
-1.55;-0.04;-1.50;0.00;-1.57;-0.01;
-1.53;-0.03;-1.50;-0.00;-1.55;0.00;
-1.53;-0.02;-1.50;0.00;-1.54;0.00;
-1.53;-0.01;-1.50;0.01;-1.54;0.01;
-1.52;-0.01;-1.50;0.00;-1.54;0.01;
-1.52;-0.01;-1.50;0.01;-1.55;0.01;
-1.55;-0.00;-1.50;0.02;-1.57;0.02;
-1.56;-0.02;-1.50;0.02;-1.58;-0.00;
-1.56;-0.02;-1.50;0.01;-1.58;-0.02;
-1.54;-0.03;-1.50;0.00;-1.56;-0.04;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.02;
-1.50;0.00;-1.50;-0.00;-1.50;0.01;
-1.51;0.01;-1.50;0.01;-1.53;0.02;
-1.54;0.01;-1.50;0.03;-1.56;0.03;
-1.56;-0.01;-1.50;0.02;-1.58;0.02;
-1.55;-0.03;-1.50;0.01;-1.58;0.00;
-1.55;-0.03;-1.50;0.01;-1.57;-0.01;
-1.54;-0.02;-1.50;0.01;-1.54;-0.02;
-1.51;-0.03;-1.50;-0.02;-1.51;-0.01;
-1.48;-0.01;-1.50;-0.02;-1.49;0.01;
-1.50;0.02;-1.50;0.01;-1.51;0.04;
-1.53;0.01;-1.50;0.02;-1.55;0.04;
-1.55;-0.00;-1.50;0.03;-1.58;0.02;
-1.57;-0.02;-1.50;0.02;-1.59;0.00;
-1.56;-0.04;-1.50;0.01;-1.59;-0.02;
-1.55;-0.03;-1.50;0.01;-1.59;-0.01;
-1.56;-0.02;-1.50;0.02;-1.57;-0.03;
-1.54;-0.03;-1.50;-0.00;-1.55;-0.08;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.04;
-1.48;-0.01;0.50;1.06;-1.49;-0.01;
-0.73;-1.27;0.50;-0.17;-0.85;-1.13;
0.51;-1.00;0.50;-0.66;0.39;-0.97;
1.08;-0.15;0.50;-0.41;1.12;-0.27;
1.02;0.31;0.50;-0.08;1.16;0.20;
0.78;0.32;0.50;0.06;0.87;0.30;
0.56;0.19;0.50;0.09;0.56;0.24;
0.40;0.08;0.50;0.11;0.35;0.13;
0.32;-0.02;0.50;0.09;0.27;0.01;
0.33;-0.09;0.50;0.03;0.30;-0.07;
0.42;-0.11;0.50;-0.03;0.39;-0.10;
0.49;-0.06;0.50;-0.03;0.47;-0.07;
0.51;-0.01;0.50;-0.01;0.52;-0.04;
0.53;0.00;0.50;-0.01;0.54;0.00;
0.53;0.01;0.50;-0.01;0.53;0.04;
0.50;0.03;0.50;0.02;0.48;0.07;
0.45;0.02;0.50;0.04;0.42;0.05;
0.41;-0.01;0.50;0.04;0.39;0.01;
0.43;-0.05;0.50;0.01;0.41;-0.03;
0.46;-0.04;0.50;-0.01;0.44;-0.03;
0.48;-0.02;0.50;-0.00;0.47;-0.03;
0.49;-0.01;0.50;-0.00;0.49;-0.02;
0.50;-0.01;0.50;-0.01;0.50;-0.01;
0.50;0.00;0.50;-0.00;0.51;0.00;
0.50;0.00;0.50;-0.00;0.51;0.02;
0.50;0.00;0.50;-0.00;0.50;0.02;
0.49;0.01;0.50;0.01;0.48;0.02;
0.47;0.00;0.50;0.02;0.45;0.02;
0.45;-0.01;0.50;0.02;0.43;0.00;
0.45;-0.02;0.50;0.02;0.43;-0.02;
0.46;-0.03;0.50;0.00;0.45;-0.03;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.49;-0.01;0.50;-0.00;0.48;-0.01;
0.49;-0.00;0.50;0.01;0.48;0.01;
0.49;-0.01;0.50;0.00;0.48;0.02;
0.48;-0.00;0.50;0.01;0.47;0.02;
0.48;-0.01;0.50;0.01;0.45;0.02;
0.46;-0.00;0.50;0.02;0.43;0.02;
0.44;-0.01;0.50;0.03;0.41;0.00;
0.43;-0.03;0.50;0.02;0.41;-0.02;
0.45;-0.04;0.50;0.01;0.42;-0.03;
0.46;-0.03;0.50;0.00;0.44;-0.02;
0.47;-0.02;0.50;0.00;0.46;-0.01;
0.48;-0.01;0.50;0.00;0.46;0.00;
0.48;-0.01;0.50;0.01;0.46;0.02;
0.47;-0.01;0.50;0.01;0.44;0.02;
0.45;-0.01;0.50;0.02;0.44;0.00;
0.46;-0.03;0.50;0.00;0.45;-0.02;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.49;-0.01;0.50;-0.00;0.48;-0.02;
0.49;-0.00;0.50;0.00;0.49;-0.01;
0.49;-0.01;0.50;0.00;0.48;0.00;
0.49;-0.00;0.50;0.01;0.47;0.01;
0.47;0.00;0.50;0.02;0.45;0.03;
0.46;-0.01;0.50;0.01;0.44;0.02;
0.46;-0.02;0.50;0.01;0.44;0.00;
0.46;-0.02;0.50;0.01;0.46;-0.02;
0.49;-0.03;0.50;-0.01;0.49;-0.02;
0.51;-0.01;0.50;-0.02;0.49;0.01;
0.49;0.02;0.50;0.02;0.47;0.03;
0.45;0.01;0.50;0.03;0.43;0.01;
0.44;-0.02;0.50;0.02;0.43;-0.02;
0.46;-0.04;0.50;-0.01;0.45;-0.04;
0.49;-0.03;0.50;-0.01;0.48;-0.02;
0.50;-0.01;0.50;-0.00;0.50;0.01;
